#cases
kind,n,rep,ok,in,out
general,9,2,1,3210444800 1074494464 3213267968 3226427392 1075271680 1068471296 1074754560 1081147392 3221756928 3222142464 3205578752 3218675712 1063569408 1073769472 1072963584 1057259520 3227845120 1074849792 1074247168 1065779200 1069167616 1077601792 1080876544 1080160768 3202449408 3199795200 1077213184 3189342208 1078573568 3212498944 3208583168 3224855040 1063012352 3227053568 1068333056 3224334336 1068313600 1066610688 1080365568 1081277440 3212858368 3213343744 1059684352 1067654144 3226530304 3219545088 3225422848 1070415872 1080197632 1079191040 3203211264 1076129792 1072343040 3215206400 3227254272 3224381440 3219147776 3226946560 1076968960 1078886400 3225061888 1012137984 1064818688 3216947200 3221752832 1078055936 1062385664 1064892416 3228018176 3226374144 1065127936 3219159040 3217390592 1073940480 3212728320 1063878656 3220343808 3224723968 3206422528 1072649216 3224924672,1049446399 1052726302 3197098328 1072840298 3217274879 1066952956 3217906214 1060699601 3219230367 1015466757 3174167568 1044887684 3207391162 1057923979 3205488664 1055832241 3192555578 1060041509 3192139052 3200689418 1048599372 3218619478 1069338439 3214086982 1068319700 3205140956 1067985412 3184628540 1007967264 1032697112 1041263260 3184351892 1044198978 3182109804 3171297548 1025649736 1051365072 1055124660 3188615776 1067460334 3213270096 1061923578 3213715485 1059356446 3214073662 3182656980 3186219494 1030398892 3197685677 1054525919 3192911440 1054753192 3197257731 1047973642 3155820459 3181535054 3151025030 3204844028 1053778754 3196315909 1050869434 3196251618 1052090990 3192634129 3204708515 1049206424 3212433873 1059259748 3204477426 1062908550 3203284229 1065402359 3199827173 3205994628 1054793626 3220521565 1067632476 3214311391 1069400626 3208470198 1071522687
general,9,3,1,3216075776 1041530880 3214823424 3222524928 3217398784 1051430912 1075150848 1068362752 3228104192 3226454016 3201409024 3222659584 1074199552 1052336128 3215960064 1081538048 1075786240 3226648576 1025966080 3210000384 3227926016 3226510336 1071551488 1076976640 1040343040 1075478016 3220587520 3211681792 1075986432 3223630848 3228947456 1080119808 1045168128 3204667392 3219469312 1054773248 1047707648 1056366592 1062959104 1074157568 3226382848 1077580800 3228616192 3227001344 3225930752 3212897280 3222198784 3221797376 1073035264 1060929536 3204816896 1062256640 1033879552 1079994368 3194503168 1081430016 1033748480 1078808064 1075836928 1065913344 3222002176 1072709632 1074534400 3217164288 3221554688 3223407616 3218204672 1062850560 1073890816 1062719488 1071629312 1078144000 1071244288 3195002880 1068200960 1066258432 1081141248 3226287616 1078296576 3228297728 1074234368,1055250476 3199496496 1048607410 3190499442 3172602476 1053862732 1042553004 3200026030 1039951754 1056713166 3193403638 3177857244 1020182001 981948480 1046419046 1048241182 3188638767 1029017630 3201256268 1045716152 3189730438 3173104130 3146233664 3205736074 3185074408 1052480411 1017084144 1025139648 1021866008 1025690834 3181923084 1032694984 1039276928 1036205605 3178798030 1030556058 3204330078 1048813326 1033028720 1029959324 3140483904 3199994798 3183066884 1043591299 1026351238 1042396192 3173979424 1023266976 3185674671 1042928624 3190314680 1040952680 1050932723 1043144120 1056507958 3188605316 3163813440 3187303998 1026409274 1036693292 1042632887 1036221216 1046818463 3182477954 1022529480 1029788405 3180669076 3187889608 3178318106 1018804332 3172164673 3184447166 1044725681 3189598126 3182806202 3155577627 3171194804 1042308054 1035118187 1028835851 1014785088
zero_row,9,0,0,3225354752 1066812416 1081254912 3197333504 3228502016 3226579968 1077563392 3215616000 1074103808 0 0 0 0 0 0 0 0 0 1061842944 3225778688 1075364864 3221838848 3227296768 1078443520 3203710976 3217742848 1069903872 1066174464 1071244288 3200036864 1062332416 1042948096 3225982976 3219627008 3178266624 1070519296 3220499456 1032847360 3227047424 3225381376 3222187008 3221023744 1081682944 3221463552 1078325760 1055780864 3190128640 1076464128 3216612352 1039876096 3227796992 1077106688 3204169728 1062873088 1076750336 1081788416 3216051200 1077770240 3213184000 3215268864 3225575424 3223590400 3226429952 3214681088 3221873664 1069131776 1073440768 3229509632 3212171264 3223291904 3208620032 1078457856 1068958720 3227028480 1079092224 1056727040 1072764928 1081566720 1078952448 3211739136 1048117248,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,9,1,0,3214807040 1071941632 1074981888 1050607616 1061027840 1078046208 1060970496 3215376384 1042366464 0 0 0 0 0 0 0 0 0 1076618240 1076243968 1068859392 3224492032 3210698752 3222914048 1074167808 3224659456 1074596864 3222955008 3222513664 1042644992 3214646272 3209326592 1080130560 3221038080 3190308864 1024983040 1080544768 3227016192 1081853952 3223096832 1074353664 3190226944 3220548608 1075146752 1081294848 1071803392 1076665856 3214352384 3224877056 3205736448 3222583808 1065700352 3227336192 3228250112 3228099072 3226682368 3225549824 3223768576 3228223488 1077652480 3225459712 1069260800 3221786624 3209672704 3228126720 1081484800 3213147136 3227318272 3197018112 1078994432 1071961088 3225911296 1057476608 3223170560 3205668864 1067330560 3226004480 3216590848 3221969408 1061535744 1066650624,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,9,2,0,3216613376 3222245888 1071257600 1080825344 1075680768 1081174528 3223150080 3199156224 3217255424 0 0 0 0 0 0 0 0 0 3225868288 1031602176 1081089536 1067261952 3220997120 3218187264 3220363264 3229332480 1077609984 1068461056 3223449088 1076534272 3202691072 3224598528 3223135744 1075572736 3226221568 3226726912 1074778112 1035223040 3206621184 3216315392 1081665536 3197603840 3222778880 3200487424 3229275136 1071403008 3202887680 1077746176 1067472896 3224659968 1067947008 1052061696 3226798592 3222779392 3198656512 3223720960 3226169344 1065689088 1077320192 3224462848 3229486592 1040932864 1077315584 1010565120 1067118592 1069428736 3220525056 1071713280 3216261120 3222291968 1066893312 3222817792 1051058176 1068943360 3225955840 1066975232 1077179392 3216478208 3226484736 1066576896 3215237120,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,9,3,0,3215750144 3187556352 3216514048 3218556928 1078897152 1074088960 1075279872 3217542144 1069499392 0 0 0 0 0 0 0 0 0 1076973056 1074652160 1075592704 1079256064 3228835328 1046790144 1068923904 3221164032 1082066944 3225899008 1053667328 3224284672 1082044928 1058891776 1079301632 3215867904 3179429888 1046142976 3225920000 3190349824 1079224832 3222502400 1077416960 1053569024 3195117568 3226204672 1078509056 3225590784 1079668224 1059850240 1076928512 1057542144 1080299520 3222027776 3200577536 3219312640 3213447168 1074161152 1073428480 1080870400 1039695872 1072789504 1073988096 1077024768 3206942720 3198373888 1080599552 3215956992 1041833984 1072386048 3210911744 3214994432 3220877312 3202437120 3217454080 1050431488 1065517056 3227053056 1069096960 3229080064 1060206592 1066368000 1079873536,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,9,0,0,3222736384 1077923840 1062836224 1075171328 3224256512 1068087296 1079131136 3227647488 3215894528 3222736384 1077923840 1062836224 1075171328 3224256512 1068087296 1079131136 3227647488 3215894528 3216179200 3219149824 3213861888 1076407296 3211661312 1016922112 3226959872 3227251200 3214239744 1079787520 1054146560 3221941760 1072803840 3229197312 3226824704 1080918016 3202351104 1067708416 3208826880 3227493376 1077083648 1055846400 1079041024 3221612032 3222718976 1072200704 1040138240 1058109440 3223939584 1057251328 1073624064 3222459392 1075471872 3213850624 3219514368 1070812160 3221510656 3229426176 3229542400 3228811776 1081007616 3209629696 3186589696 3222899712 3216834560 1074165248 3221898240 3224498688 1069906944 1077824000 3224310784 3227662336 1065595904 1079419904 3217813504 3210323968 1063786496 1029898240 1032732672 3168141312 3211859968 1081909760 1072177152,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,9,1,0,3220568064 3227284992 3223382528 3225167360 3216833536 3209033728 3226001408 3223453184 1076150272 3220568064 3227284992 3223382528 3225167360 3216833536 3209033728 3226001408 3223453184 1076150272 3221932544 1077432320 1034043392 3196051456 1053687808 3224314368 3222021120 3211929600 3217711104 3219277824 1078256128 1078080512 1075420672 3224003584 1070875648 3198099456 3217723392 3219879936 3202240512 3205953536 1076589568 1052737536 1079019008 1079822848 3200843776 1055526912 1076039168 3227631104 3224221184 3223617536 1065816064 3216451584 1041416192 3221280256 1066161152 1074177536 1061328896 3223712256 3187810304 1061611520 1076525056 3216126976 1081473536 3228486144 1082097152 1071438848 1074362368 1072468992 3221643776 3216248832 3221378048 3228298240 1080378880 3227546112 1076527104 1080657920 1081239552 3223093760 3199131648 3195305984 3215340544 1074493440 1077039616,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,9,2,0,1071084544 1033076736 3213997056 3229024768 3227061248 1079820800 3226318848 3228792320 3220047872 1071084544 1033076736 3213997056 3229024768 3227061248 1079820800 3226318848 3228792320 3220047872 3221968384 3222153216 3224819200 1080166400 1073422336 3220490240 1067760640 1061154816 3222019584 3208204288 1077379072 3221450752 3222290944 3229107200 1045356544 1080686080 1042251776 1060501504 3224756736 3223877632 1071413248 1075892736 3216317440 3209496576 3221841408 1058934784 3224006656 1075554816 3199918080 1065684992 3228549632 1061924864 3222534144 3221444096 1075753984 3228095488 1067796480 1080871424 1069480960 3179053056 3210184704 3216562176 3228711424 1072261120 3219258368 3225635328 1076246528 1062117376 3213713408 1066874880 1078023168 1067763712 1077582848 1079747584 1064116224 3218050048 3227147264 1077663232 3221057536 1063475200 1068422144 1078862336 1069074432,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,9,3,0,3229469184 1075429888 1049657344 3218881536 3222135296 1079474688 1076034560 1061443584 3215582208 3229469184 1075429888 1049657344 3218881536 3222135296 1079474688 1076034560 1061443584 3215582208 1077102080 3214177280 3188948992 3205474304 1054834688 1079422976 1067168768 3224301568 3203166208 3222648832 3222493696 3228027392 1072654336 3202924544 3223419904 1076070912 1069282304 1081598464 3223826432 1069122560 1076043776 1077893632 3219990528 3226542080 1078347264 3219447808 3229340160 3228482560 3225349120 3222156288 3214166016 3226712064 3222508544 1076404736 3201228800 3215019008 1081649152 1079761408 1062750208 1081117696 1076971008 1074249216 1075218944 1080932352 3211743232 3223455744 1060702208 3210989568 1065923584 3171319808 3216088064 3224687104 3227507200 1079670272 1079744512 3226679808 3225227264 3216316416 1068813312 1081713664 3227887616 1053007872 1077624320,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#mul
n,a,b,c
3,1071028224 3226009088 1072051200 3225819136 1059348480 1065448448 3220314112 1074875904 1075038208,3189497856 3215869952 1074655744 3214589952 1071707136 3223337472 1067435008 1079639040 1069693952,1085876788 3218510820 1097135338 1064635505 1091344762 3235774836 1054453704 1097261434 3234594615
4,1059354624 1077163008 1057861632 1074069504 3226822144 3204970496 3224419328 1021181952 3226888192 1068348416 3227008512 1080487424 1075835904 3213004800 3172663296 3219790848,1066186752 1073972224 3223977984 1081808896 3198058496 3218078720 1069869056 1063084032 1081397760 1075990016 1068710912 3222171648 3224206848 1075434496 3224762368 1040416768,3228278540 1078538356 3223359280 1082090575 3244439085 3243168852 1082331678 3236726996 3252058524 3239035725 3229622853 3229559224 1090260346 1075005124 3225673650 1091329342
5,3223930368 1067027456 3221345280 3221971456 1061152768 3211499520 3228955648 1080334336 1071273984 3229287936 1075465728 1077395456 3223422976 1050013696 1055293440 1075326976 3215510528 3209584640 3223665664 1070424064 1081588736 1073034240 1054998528 3214611456 3198783488,1075514368 1080910848 1081367552 3221726208 3205883904 3227721728 3225053696 3213373440 3214102528 1044504576 1078586880 1065714688 1077760000 3222746624 3220510720 3227820544 1080570880 3222800384 3207133184 3220937728 3229500416 3217727488 3224983040 1074004992 1075184640,3242472946 3250852399 3244684971 1094714992 1094397016 1107340052 1103051452 1100190370 3241444235 3248265494 3245496018 3218730283 3226738386 3218839634 1083061936 1093398267 3182520192 1092180277 1079598509 1091292290 1092213322 1084997431 1099895361 3241499550 3214044050
6,1072177152 3182526464 3222418432 3223221760 3227984384 1069227008 3223191040 1077387264 1074831360 1069260800 1080787456 1079536640 1081095680 1079847424 3201384448 3215150080 1075180032 3218096128 3218717696 3198640128 3228618240 3226058240 1063092224 1081867264 1077899264 1078060032 3228478976 3209129984 3203977216 3226054144 3229038080 3206078464 1081513984 3222973952 3198918656 3222454784,1066399744 3201011712 3219964928 3215003648 3221356544 1066775552 3217273856 1067706368 3184082944 1066779648 1077526016 1070888960 3177807872 3226900992 1059403776 3222612480 1063503872 3229552640 1055068160 1077133312 1080518656 3226135552 1080690176 3214618624 1081155072 1077876224 3209926656 1041383424 3224434176 1074674176 1080175616 1077291008 1061496832 3214487552 3199827968 1077019136,3236399795 3235377368 3239745245 1091070725 3232896711 1092745457 1100570569 1101951958 1093251188 3235848024 1091894777 1091227110 1069319056 1078291590 3245707824 1087582538 3238539549 1096792428 1097415346 1099856814 3238348891 1098837904 3246489157 1105806549 3244679610 1076204832 3243329035 1097486715 3212250930 1097324091 3244388017 3251877517 3205075774 1085362115 1075676760 3251139860
9,3229074944 1074818048 1068822528 1081970176 1038254080 3212134400 3221961216 3218154496 3225943552 3229520384 3201593344 1067583488 1077524992 3216056320 1073423360 3181527040 3225515008 1057032192 1078099968 3203948544 3222991872 1081141248 3214390272 3228727808 1023770624 3218588672 1075896320 1067020288 1081374720 1080166912 3223401472 3222883840 3217821696 1064161280 1078109696 3219959808 3221357056 1061289984 3215440896 1068940288 3223740928 1079699968 1073708032 1076498944 3174137856 3216546816 1070351360 3226142720 1064189952 3215409152 3226931200 3220671488 1071430656 3218641920 1034141696 1066451968 3215401984 1078849024 3224710144 1063614464 1066560512 1066452992 1057681408 3197657088 1077275648 3219012608 3224313344 1075623424 3223575552 3225925632 3224567808 3224141824 3219933184 1076414464 3220124672 3221591040 3229146624 3227016704 1063585792 3225595904 3222461952,3225789440 3220764672 3213011968 3206868992 3227028992 1068392448 1074996736 3229433856 1078629888 1079785984 3221452288 3221277696 1072222208 3211831296 1079785984 1081526272 1046118400 3223888896 1079321600 3225995776 3226078208 1075614720 1075134464 3228996608 1075181568 1070541824 1077839360 1072056320 1055498240 3214655488 3222838784 3221621760 3223116288 1048801280 3215628288 3128950784 1080297984 1075547648 1065156608 1079097856 1067587584 3226910720 1047183360 3221347328 3215455232 3226909184 3225160704 1047764992 1070427136 3229597184 1078552064 3225623040 3225586688 1063264256 3215186944 3226402816 3229258752 1069219840 3222615040 1072289792 1058627584 3202387968 3221315584 1057146880 3187990528 3201372160 1068863488 3202584576 1077505536 3227817984 3228163072 3170369536 1069577216 3204947968 1080046592 1078309888 3197546496 1074937344 1076597760 1078587904 1074329600,1107405383 1094981369 3241938460 3246091922 1099255322 3254727358 1078904164 1095301804 3247031569 1090617663 3224601970 3194207408 3234326967 1075881922 3246149236 3214785391 1102759206 3224867089 3212508476 1094117560 1090761138 3249685137 3239874613 3230562920 1103346828 1088283279 1089029614 1093739394 3251615934 3254307788 1093007862 1086804778 1099247035 1096979933 3223339200 1032237152 3245255761 3246380239 3237706043 3201144663 3249886743 1107328811 3250526754 3241849613 3240237810 1091028521 1102855638 1086310322 3249237988 1092664422 1083965164 3234368975 1071615904 3248072430 3238086033 3240689188 3237529374 3241932589 3249334713 1101042723 3225294469 3234605512 3226692444 1098722893 1103257610 1091696240 3232336608 1102399420 3243733766 1097613954 1091063331 3247664194 3229050256 1074928836 3240026992 3249470954 1095035426 1091422382 1098565518 1105866650 3249976654
