#fence_recovery
idx,control_reason,previous_reason,out
0,0,0,0
1,0,10,0
2,0,2,0
3,0,40,0
4,0,39,0
5,0,44,0
6,0,49,0
7,0,26,0
8,10,0,1
9,10,10,1
10,10,2,1
11,10,40,1
12,10,39,1
13,10,44,1
14,10,49,1
15,10,26,1
16,2,0,0
17,2,10,0
18,2,2,0
19,2,40,0
20,2,39,0
21,2,44,0
22,2,49,0
23,2,26,0
24,40,0,0
25,40,10,1
26,40,2,0
27,40,40,0
28,40,39,0
29,40,44,0
30,40,49,0
31,40,26,0
32,39,0,0
33,39,10,1
34,39,2,0
35,39,40,0
36,39,39,0
37,39,44,0
38,39,49,0
39,39,26,0
40,44,0,0
41,44,10,1
42,44,2,0
43,44,40,0
44,44,39,0
45,44,44,0
46,44,49,0
47,44,26,0
48,49,0,0
49,49,10,1
50,49,2,0
51,49,40,0
52,49,39,0
53,49,44,0
54,49,49,0
55,49,26,0
56,26,0,0
57,26,10,0
58,26,2,0
59,26,40,0
60,26,39,0
61,26,44,0
62,26,49,0
63,26,26,0
#set_mode
idx,target,reason,gcs_enabled,is_vtol,soft_armed,fence_enabled,fence_option,fence_breached,in_fence_recovery,before_control,before_previous,before_control_reason,before_previous_reason,ok,after_control,after_previous,after_control_reason,after_previous_reason,message
298,18,26,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
299,18,26,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
300,18,26,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
301,18,26,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
302,18,26,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
303,18,26,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
304,18,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
305,18,10,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
306,18,10,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
307,18,10,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
308,18,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,vtol unavailable
309,18,10,1,1,0,0,0,0,0,0,0,1,10,0,0,0,1,10,vtol unavailable
310,18,10,1,1,1,1,1,1,1,0,0,10,0,0,0,0,10,0,vtol unavailable
311,18,10,1,1,1,1,1,1,1,0,0,10,10,0,0,0,10,10,vtol unavailable
312,18,10,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
313,18,10,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
314,18,10,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
315,18,10,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
316,18,10,1,1,0,0,0,0,0,5,0,1,0,0,5,0,1,0,vtol unavailable
317,18,10,1,1,0,0,0,0,0,5,0,1,10,0,5,0,1,10,vtol unavailable
318,18,10,1,1,1,1,1,1,1,5,0,10,0,0,5,0,10,0,vtol unavailable
319,18,10,1,1,1,1,1,1,1,5,0,10,10,0,5,0,10,10,vtol unavailable
320,15,1,1,0,0,0,0,0,0,0,0,1,0,1,15,0,1,1,-
321,15,1,1,0,0,0,0,0,0,0,0,1,10,1,15,0,1,1,-
322,15,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
323,15,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
324,15,1,1,0,0,0,0,0,0,0,0,1,0,1,15,0,1,1,-
325,15,1,1,0,0,0,0,0,0,0,0,1,10,1,15,0,1,1,-
326,15,1,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
327,15,1,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
328,15,1,1,0,0,0,0,0,0,5,0,1,0,1,15,5,1,1,-
329,15,1,1,0,0,0,0,0,0,5,0,1,10,1,15,5,1,1,-
330,15,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
331,15,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
332,15,1,1,0,0,0,0,0,0,5,0,1,0,1,15,5,1,1,-
333,15,1,1,0,0,0,0,0,0,5,0,1,10,1,15,5,1,1,-
334,15,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
335,15,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
336,15,2,1,0,0,0,0,0,0,0,0,1,0,1,15,0,2,1,-
337,15,2,1,0,0,0,0,0,0,0,0,1,10,1,15,0,2,1,-
338,15,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
339,15,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
340,15,2,1,0,0,0,0,0,0,0,0,1,0,1,15,0,2,1,-
341,15,2,1,0,0,0,0,0,0,0,0,1,10,1,15,0,2,1,-
342,15,2,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
343,15,2,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
344,15,2,1,0,0,0,0,0,0,5,0,1,0,1,15,5,2,1,-
345,15,2,1,0,0,0,0,0,0,5,0,1,10,1,15,5,2,1,-
346,15,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
347,15,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
348,15,2,1,0,0,0,0,0,0,5,0,1,0,1,15,5,2,1,-
349,15,2,1,0,0,0,0,0,0,5,0,1,10,1,15,5,2,1,-
350,15,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
351,15,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
352,15,26,1,0,0,0,0,0,0,0,0,1,0,1,15,0,26,1,-
353,15,26,1,0,0,0,0,0,0,0,0,1,10,1,15,0,26,1,-
354,15,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
355,15,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
356,15,26,1,0,0,0,0,0,0,0,0,1,0,1,15,0,26,1,-
357,15,26,1,0,0,0,0,0,0,0,0,1,10,1,15,0,26,1,-
358,15,26,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
359,15,26,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
360,15,26,1,0,0,0,0,0,0,5,0,1,0,1,15,5,26,1,-
361,15,26,1,0,0,0,0,0,0,5,0,1,10,1,15,5,26,1,-
362,15,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
363,15,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
364,15,26,1,0,0,0,0,0,0,5,0,1,0,1,15,5,26,1,-
365,15,26,1,0,0,0,0,0,0,5,0,1,10,1,15,5,26,1,-
366,15,26,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
367,15,26,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
368,15,10,1,0,0,0,0,0,0,0,0,1,0,1,15,0,10,1,-
369,15,10,1,0,0,0,0,0,0,0,0,1,10,1,15,0,10,1,-
370,15,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
371,15,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
372,15,10,1,0,0,0,0,0,0,0,0,1,0,1,15,0,10,1,-
373,15,10,1,0,0,0,0,0,0,0,0,1,10,1,15,0,10,1,-
374,15,10,1,0,1,1,1,1,1,0,0,10,0,0,0,0,10,0,in fence recovery
375,15,10,1,0,1,1,1,1,1,0,0,10,10,0,0,0,10,10,in fence recovery
376,15,10,1,0,0,0,0,0,0,5,0,1,0,1,15,5,10,1,-
377,15,10,1,0,0,0,0,0,0,5,0,1,10,1,15,5,10,1,-
378,15,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
379,15,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
380,15,10,1,0,0,0,0,0,0,5,0,1,0,1,15,5,10,1,-
381,15,10,1,0,0,0,0,0,0,5,0,1,10,1,15,5,10,1,-
382,15,10,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
383,15,10,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
