#derivative
scenario,size,step,sample,timestamp,slope
wrap,7,18,1108344832,12999,990057071
wrap,9,18,1108344832,12999,990057071
wrap,11,18,1108344832,12999,990057070
wrap,5,19,1108869120,13999,990057071
wrap,7,19,1108869120,13999,990057071
wrap,9,19,1108869120,13999,990057071
wrap,11,19,1108869120,13999,990057070
wrap,5,20,1109393408,14999,990057071
wrap,7,20,1109393408,14999,990057071
wrap,9,20,1109393408,14999,990057071
wrap,11,20,1109393408,14999,990057070
wrap,5,21,1109917696,15999,990057071
wrap,7,21,1109917696,15999,990057071
wrap,9,21,1109917696,15999,990057071
wrap,11,21,1109917696,15999,990057070
wrap,5,22,1110441984,16999,990057071
wrap,7,22,1110441984,16999,990057071
wrap,9,22,1110441984,16999,990057071
wrap,11,22,1110441984,16999,990057070
wrap,5,23,1110966272,17999,990057071
wrap,7,23,1110966272,17999,990057071
wrap,9,23,1110966272,17999,990057071
wrap,11,23,1110966272,17999,990057070
wrap,5,24,1111490560,18999,990057071
wrap,7,24,1111490560,18999,990057071
wrap,9,24,1111490560,18999,990057071
wrap,11,24,1111490560,18999,990057070
wrap,5,25,1112014848,19999,990057071
wrap,7,25,1112014848,19999,990057071
wrap,9,25,1112014848,19999,990057071
wrap,11,25,1112014848,19999,990057070
wrap,5,26,1112539136,20999,990057071
wrap,7,26,1112539136,20999,990057071
wrap,9,26,1112539136,20999,990057071
wrap,11,26,1112539136,20999,990057070
wrap,5,27,1113063424,21999,990057071
wrap,7,27,1113063424,21999,990057071
wrap,9,27,1113063424,21999,990057071
wrap,11,27,1113063424,21999,990057070
wrap,5,28,1113587712,22999,990057071
wrap,7,28,1113587712,22999,990057071
wrap,9,28,1113587712,22999,990057071
wrap,11,28,1113587712,22999,990057070
wrap,5,29,1114112000,23999,990057071
wrap,7,29,1114112000,23999,990057071
wrap,9,29,1114112000,23999,990057071
wrap,11,29,1114112000,23999,990057070
wrap,5,30,1114636288,24999,990057071
wrap,7,30,1114636288,24999,990057071
wrap,9,30,1114636288,24999,990057071
wrap,11,30,1114636288,24999,990057070
wrap,5,31,1115160576,25999,990057071
wrap,7,31,1115160576,25999,990057071
wrap,9,31,1115160576,25999,990057071
wrap,11,31,1115160576,25999,990057070
wrap,5,32,1115684864,26999,990057071
wrap,7,32,1115684864,26999,990057071
wrap,9,32,1115684864,26999,990057071
wrap,11,32,1115684864,26999,990057070
wrap,5,33,1115947008,27999,990057071
wrap,7,33,1115947008,27999,990057071
wrap,9,33,1115947008,27999,990057071
wrap,11,33,1115947008,27999,990057070
wrap,5,34,1116209152,28999,990057071
wrap,7,34,1116209152,28999,990057071
wrap,9,34,1116209152,28999,990057071
wrap,11,34,1116209152,28999,990057070
wrap,5,35,1116471296,29999,990057071
wrap,7,35,1116471296,29999,990057071
wrap,9,35,1116471296,29999,990057071
wrap,11,35,1116471296,29999,990057070
wrap,5,36,1116733440,30999,990057071
wrap,7,36,1116733440,30999,990057071
wrap,9,36,1116733440,30999,990057071
wrap,11,36,1116733440,30999,990057070
wrap,5,37,1116995584,31999,990057071
wrap,7,37,1116995584,31999,990057071
wrap,9,37,1116995584,31999,990057071
wrap,11,37,1116995584,31999,990057070
wrap,5,38,1117257728,32999,990057071
wrap,7,38,1117257728,32999,990057071
wrap,9,38,1117257728,32999,990057071
wrap,11,38,1117257728,32999,990057070
wrap,5,39,1117519872,33999,990057071
wrap,7,39,1117519872,33999,990057071
wrap,9,39,1117519872,33999,990057071
wrap,11,39,1117519872,33999,990057070
